PCDHB13_Domain5	CDH17_Domain6	76	5
CDH13_Domain3	CDH17_Domain5	165	-3
CDH20_Domain2	CDH17_Domain6	56	8
CDH20_Domain2	CDH17_Domain2	44	-6
CDH20_Domain2	CDH17_Domain3	44	13
CDH20_Domain2	CDH17_Domain7	20	0
CDH23_Domain24	CDH17_Domain1	56	5
CDH23_Domain24	CDH17_Domain3	45	6
CDH23_Domain24	CDH17_Domain7	39	-5
CDH23_Domain24	CDH17_Domain5	36	-1
CDH23_Domain24	CDH17_Domain2	19	52
CDH8_Domain4	CDH17_Domain1	54	8
CDH8_Domain4	CDH17_Domain4	52	0
CDH8_Domain4	CDH17_Domain6	47	0
CDH8_Domain4	CDH17_Domain3	37	9
CDH8_Domain4	CDH17_Domain5	28	-7
CELSR1_Domain4	CDH17_Domain3	68	26
DCHS1_Domain18	CDH17_Domain1	45	8
DCHS1_Domain18	CDH17_Domain6	38	0
DCHS1_Domain18	CDH17_Domain3	33	32
DSG3_Domain3	CDH17_Domain5	85	-3
DSG3_Domain3	CDH17_Domain2	27	0
FAT2_Domain25	CDH17_Domain6	40	0
FAT2_Domain25	CDH17_Domain4	32	0
IGF1R_Domain4	CDH17_Domain5	22	-9
PCDH11X_Domain3	CDH17_Domain3	43	12
PCDH11X_Domain3	CDH17_Domain5	39	-4
PCDH17_Domain4	CDH17_Domain6	91	19
PCDH17_Domain4	CDH17_Domain3	80	24
PCDH17_Domain4	CDH17_Domain1	68	23
PCDH17_Domain4	CDH17_Domain2	28	7
PCDH8_Domain5	CDH17_Domain2	46	2
PCDH8_Domain5	CDH17_Domain4	43	0
PCDH8_Domain5	CDH17_Domain1	41	15
PCDH8_Domain5	CDH17_Domain3	34	16
PCDHA6_Domain2	CDH17_Domain1	78	-11
PCDHA6_Domain2	CDH17_Domain3	60	-10
PCDHA6_Domain2	CDH17_Domain7	42	-21
PCDHAC2_Domain4	CDH17_Domain6	78	-5
PCDHAC2_Domain4	CDH17_Domain3	70	0
PCDHAC2_Domain4	CDH17_Domain1	62	-1
PCDHAC2_Domain4	CDH17_Domain5	39	-16
PCDHB4_Domain2	CDH17_Domain6	67	4
PCDHB4_Domain2	CDH17_Domain4	39	-4
PCDHB4_Domain2	CDH17_Domain7	36	-2
